time_s,theta_roll,omega_roll,control_roll,disturbance_roll,theta_pitch,omega_pitch,control_pitch,disturbance_pitch,theta_yaw,omega_yaw,control_yaw,disturbance_yaw
0.0,0.0872665,0.0008727,0.0,1.7957258050033596e-05,-0.0523599,-0.0005236,0.0,2.452044233696184e-05,0.1396263,0.0006981,0.0,1.4343635718554348e-05
2.0,0.08890510808050066,0.0007591000635270152,-0.007211651092113384,1.8734973051207013e-05,-0.05334236309287265,-0.0004547852043635578,0.0036037957327314718,2.4491822695710527e-05,0.1408897474255916,0.0005569657251442909,-0.005960352027192417,1.341196017733573e-05
4.0,0.09030175998853582,0.0006425315213420529,-0.006829944364517024,1.93090017596889e-05,-0.0541783609114754,-0.0003842279147115401,0.003410884467576297,2.4216910823555565e-05,0.1418531522236627,0.000412693716810178,-0.0056208056369261815,1.2393347045743554e-05
6.0,0.09147219251088387,0.0005322045816948032,-0.006461492475099127,1.9601354938736237e-05,-0.05487744121917261,-0.00031745914145444464,0.0032246914984351053,2.3737476121266545e-05,0.14253715711195256,0.00027670769954788317,-0.005293655110765932,1.1431954937237486e-05
8.0,0.09242810106822749,0.00042791306170532285,-0.006105939503480261,1.9578470880552603e-05,-0.05544671025213486,-0.00025435967542767175,0.003045056708381708,2.3127531434518866e-05,0.1429573339327347,0.00014872733288399766,-0.004978575262117202,1.0662899123779382e-05
10.0,0.09318140267111337,0.0003294370820162256,-0.005763013238077231,1.9256513943664926e-05,-0.05589341758998647,-0.0001948000277537903,0.0028718562944922326,2.2481648193193832e-05,0.1431294791563106,2.845759755532084e-05,-0.004675315935483585,1.0190920121309188e-05
12.0,0.09374345424681074,0.00023656575553208315,-0.005432448967239995,1.869882243942058e-05,-0.05622447852578612,-0.00013865358533223933,0.0027049623367845625,2.190002580299889e-05,0.14306865576202785,-8.438329264150734e-05,-0.004383637682723502,1.007384778037634e-05
14.0,0.09412525454398554,0.000149092279239487,-0.00511398024833732,1.800590879020944e-05,-0.05644659069716194,-8.57934069508266e-05,0.0025442370703518,2.1472672504168622e-05,0.14278944048882872,-0.0001900726696182211,-0.0041032971261621195,1.0313471538415356e-05
16.0,0.09433739694147913,6.681609123391256e-05,-0.004807345013711179,1.7299590714549492e-05,-0.0565662001209221,-3.609377206989236e-05,0.0023895364210728444,2.126519519181804e-05,0.14230586346610133,-0.00028888250272206126,-0.0038340473544384063,1.0855258220077651e-05
18.0,0.09439007963411436,-1.0456946104606045e-05,-0.004512286859723104,1.670375877598581e-05,-0.05658950283706856,1.056906621723008e-05,0.002240712436464246,2.1308441672852632e-05,0.1416314146615,-0.00038108049204842013,-0.003575635284099729,1.159696193873366e-05
20.0,0.09429311935285509,-8.291480812102698e-05,-0.0042285547944041525,1.63248166769467e-05,-0.05652245031308735,5.431609313282591e-05,0.0020976160063379055,2.159363061931465e-05,0.140779052750818,-0.00046693092878813283,-0.0033277996601162427,1.2404766785003814e-05
22.0,0.09405596127586267,-0.00015073976640588984,-0.003955902032346425,1.6234882345076452e-05,-0.05637075463454472,9.526470773085348e-05,0.0019600997219757815,2.207373809144144e-05,0.13976120924993146,-0.0005466949185166944,-0.0030902705146056155,1.3134413726736626e-05
24.0,0.09368769276304603,-0.00021410922040621127,-0.003694083511704831,1.6460401991136303e-05,-0.056139898223862256,0.00013352814322447067,0.0018280201610115197,2.2670921728923467e-05,0.13858979865162332,-0.0006206302656957444,-0.0028627696791805536,1.3653976247456987e-05
26.0,0.09319705018270304,-0.0002731964437016523,-0.003442853372333302,1.697797472837491e-05,-0.0558351413900803,0.00016921502593003317,0.0017012396643576524,2.3288810493797247e-05,0.13727622329502587,-0.0006889906125759634,-0.002645013050417856,1.3864688950756453e-05
28.0,0.09259242686570271,-0.0003281713750438069,-0.0032019622778770717,1.7718046954159523e-05,-0.05546153202562697,0.0002024292929930682,0.0015796270628944435,2.3827719684789134e-05,0.1358313834778394,-0.0007520243009468116,-0.0024367137597379666,1.3716540751963268e-05
30.0,0.0918818790959506,-0.0003792012239340376,-0.002971155321754734,1.8575893232238257e-05,-0.05502391481510411,0.0002332704185250279,0.0014630573981734088,2.420038910688446e-05,0.1342656894853673,-0.0008099730036256171,-0.0022375860326218897,1.3216170834982421e-05
