time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,altitude_km,speed_mps,density_kgm3,sunlight,q_norm,q0,q1,q2,q3,wx_rads,wy_rads,wz_rads,control_x_Nm,control_y_Nm,control_z_Nm,disturbance_x_Nm,disturbance_y_Nm,disturbance_z_Nm
0.0,6858137.0,0.0,0.0,0.0,4742.3242,5983.3241,480.0,7634.776100420132,9.53106325513816e-13,1.0,0.9999999706642047,0.9961934,0.0453225,-0.0230466,0.0708052,0.0008727,-0.0005236,0.0006981,0.0,0.0,0.0,2.257517585600829e-06,5.034815016586834e-06,-1.142407272407342e-05
10.0,6857712.673184705,47422.26393098634,59832.00352121582,-84.86448055242795,4742.030781317054,5982.952859039785,480.00063697695174,7634.77457588043,9.530968130614909e-13,1.0,0.9999999475898366,0.9959545279598255,0.0475542773721837,-0.02459853098832948,0.07216631064993158,3.044765360809511e-05,-0.0001471483357631974,-0.00011614515152580234,-0.0019511457161277225,0.0013855813968344846,-0.0024875995518438727,2.2812049965941735e-06,4.8905358765754455e-06,-1.1198531347223324e-05
20.0,6856439.68365318,94838.65288984598,119656.57387738094,-169.71831170747149,4741.150523056571,5981.8391339428035,480.00248540915453,7634.769938379153,9.530692095810301e-13,1.0,0.9999999158740754,0.9961738038338493,0.04625735787234086,-0.02457938441837549,0.06995494984374784,-0.0005298660611871135,0.00013710863737735675,-0.0007245540071901717,-0.0012239124457478483,0.001000063160478067,-0.001767585127122715,2.3204477537924266e-06,4.724337420755755e-06,-1.056608584176817e-05
30.0,6854318.181480165,142243.30327717756,179466.2922973128,-254.5508652467735,4739.683531800589,5979.983059939375,480.00553572843876,7634.76217846905,9.530236595212154e-13,1.0,0.9999998596359515,0.9966818700685883,0.04273585772912744,-0.023395853641766003,0.0652016076874889,-0.0008645261625489142,0.0003372968185889507,-0.0011418673959315787,-0.0006789743774259121,0.0006721418120839549,-0.0011566399804641546,2.3648962849121644e-06,4.5312104424132575e-06,-9.64483818155665e-06
40.0,6851348.44016495,189630.35299242355,239253.74191125762,-339.35151556137095,4737.630001346558,5977.384882859525,480.0097957710894,7634.751306926137,9.529600484475704e-13,1.0,0.9999998341624426,0.9973187822165347,0.0379657809032895,-0.02140354709247541,0.05878267274720146,-0.0010329310483791414,0.0004670048372741797,-0.001399004615310821,-0.00028406412109795544,0.0004005760776065855,-0.0006539743704859738,2.405447859224777e-06,4.30918089883209e-06,-8.534303791134979e-06
50.0,6847530.754237218,236993.91853643718,299011.478783104,-424.10960114247104,4734.99014185242,5974.04486948976,480.0151864195932,7634.737238431834,9.528795612218943e-13,1.0,0.9999997531594852,0.99796361760135,0.03265703963292734,-0.018907384080914975,0.051421326827378495,-0.0010832581097467877,0.0005390358470007879,-0.001526447479039696,-9.716642403632435e-06,0.0001827392077546849,-0.00025367741723385934,2.4352026022717306e-06,4.0601990669428005e-06,-7.31751215794731e-06
60.0,6842865.648475358,284328.14931025833,358732.10061295476,-508.81451940919175,4731.7643245207655,5969.963490622937,480.02175432936195,7634.720028746297,9.527815056146913e-13,1.0,0.9999997057339748,0.9985409488328835,0.027302307441388497,-0.016158768354793983,0.04369053885674609,-0.001053481185463591,0.0005652999466492746,-0.0015525094920440102,0.0001699832631514135,1.463906444196277e-05,5.3317221335306e-05,2.4498882688006814e-06,3.7893239000609133e-06,-6.061357926969464e-06
70.0,6837353.744786518,331627.1981005622,418408.2093970793,-593.4556728998164,4727.952989598002,5965.141304658858,480.0295377531564,7634.699725077132,9.526653160553509e-13,1.0,0.9999996624555008,0.9990138434322907,0.022227433228112062,-0.01335791688061942,0.03603016528491488,-0.0009730167234470499,0.0005567104479240877,-0.0015026091439426536,0.00027735571983100477,-0.00010883265116313023,0.00027784573998727776,2.4477735423971293e-06,3.503389547322295e-06,-4.817793983425554e-06
80.0,6830995.755833942,378885.1871256694,478032.3684714124,-678.0224080382192,4723.556642064946,5959.578952163438,480.0385552443378,7634.676353563867,9.525307222754173e-13,1.0,0.9999996733739788,0.9993736089209909,0.01763044385878763,-0.010656912489326816,0.028763417839948617,-0.0008641282312617167,0.0005230474801780739,-0.0013989568870737088,0.0003312485735783248,-0.00019357088749491345,0.0004315879133772818,2.429230256978909e-06,3.2096744072194603e-06,-3.6249529330827105e-06
90.0,6823792.594160527,426096.2891148674,537597.205097002,-762.5041598190711,4718.575927071699,5953.277251289087,480.04892418181896,7634.650051181002,9.523759805056105e-13,1.0,0.999999716295094,0.9996292760537144,0.013612019675304194,-0.008162212066297334,0.02210959658472227,-0.0007429130284964101,0.0004726941576620769,-0.0012601657019910607,0.00034699998671755176,-0.00024578068673969795,0.0005261962713051455,2.3960910104754587e-06,2.914783040881253e-06,-2.5082165854672224e-06
100.0,6815745.093805115,473254.66445126495,597095.3309344595,-846.8903436253079,4713.011437262916,5946.236954011104,480.0605762861418,7634.620748612475,9.522021192771317e-13,1.0,0.9999997550832271,0.9997987187801513,0.010204916163466147,-0.005942031555301549,0.016204445043714277,-0.0006206641277701099,0.00041265170905614956,-0.0011015324100996074,0.00033689505888449155,-0.00027164216290584913,0.0005728557634262797,2.351004880887066e-06,2.624091696067515e-06,-1.482522973457256e-06
110.0,6806854.241281019,520354.4860817184,656519.3735629185,-931.1703993789276,4706.863872471243,5938.458948169699,480.07349116270615,7634.588430672034,9.520094532894763e-13,1.0,0.9999997556244846,0.9999025009780609,0.007395016426941198,-0.004032489903766779,0.011115419203485041,-0.0005048451462645548,0.000348536359587642,-0.0009352244861697618,0.0003104929425862893,-0.00027701022713355443,0.000581928155454374,2.2968699406694967e-06,2.34147269010213e-06,-5.543351617128698e-07
120.0,6797121.156278095,567389.8975189547,715861.9233469279,-1015.333714477827,4700.134026564619,5929.944240849132,480.08766839836073,7634.553105389055,9.517980001322807e-13,1.0,0.9999998067476116,0.9999601155441457,0.005137868791312038,-0.002444173123179777,0.006856321041665995,-0.00039998736442222176,0.0002846772254851943,-0.0007706215618191653,0.00027504176782363823,-0.000267230465264171,0.0005627822338972844,2.236424730772656e-06,2.0693222378192256e-06,2.763467559619026e-07
130.0,6786547.055620361,614355.093904207,775115.635999518,-1099.3697711823875,4692.82276219299,5920.693926389046,480.10310725247024,7634.514780988141,9.515677833848785e-13,1.0,0.9999998554081934,0.9999877042934308,0.003372384557332092,-0.0011683943038153463,0.003400581642883996,-0.0003083858200998042,0.0002241844702058391,-0.0006145264616256839,0.00023576570819854625,-0.0002469293289560989,0.0005235355993538869,2.1719967718378193e-06,1.8087536825765902e-06,1.0141464960302775e-06
140.0,6775133.254845953,661244.2595651621,834273.1535829033,-1183.2680335678938,4684.931012072302,5910.709188036435,480.119796483824,7634.473454841452,9.513189842456777e-13,1.0,0.9999999027609622,0.9999975855761442,0.0020298899460100286,-0.0001830460963823352,0.0006931123644870784,-0.00023077470190892638,0.00016915612379163388,-0.0004716256954940328,0.00019631411025290495,-0.00022001153514239263,0.0004711106608823395,2.105389093186644e-06,1.55988330503064e-06,1.6667191282744514e-06
150.0,6762881.284824986,708051.6052477463,893327.1516167495,-1267.0180113063138,4676.45985984831,5899.991400241381,480.1378376064412,7634.429250747519,9.510501045978567e-13,1.0,0.9999999429208355,0.9999983562306706,0.0010409116100078687,0.0005425791598793712,-0.0013399583973450597,-0.0001668110452711564,0.00012083321502652736,-0.0003448060469923956,0.00015907093871254024,-0.0001896373404926006,0.0004112156645991051,2.037859123757491e-06,1.322107454402393e-06,2.2435036682664985e-06
